Column,Values_Filled,Percent
Bid_Property_Type,6811,5.948315764652454
Bid_SubProperty_Type,18356,16.031021021283284
Bid_SpecificUseProperty_Type,61174,53.42567443647764
PropertyState,32580,28.45340296760784
PropertyCity,32582,28.455149646734146
Market,42775,37.35709981397867
Submarket,42775,37.35709981397867
BusinessSegment,12116,10.58138214719265
Bid_JobPurpose,71854,62.75294097097892
Bid_Deliverable,72589,63.39484554989826
OfficeLocation,1,0.0008733395631555505
BidCompanyName,11289,9.85913032846301
BidCompanyType,11282,9.853016951520921
GrossBuildingAreaRange,32579,28.452529628044683
YearBuiltRange,32579,28.452529628044683
MarketOrientation,34048,29.735465446320188
