,BidFee,TargetTime,DistanceInKM,DistanceInMiles,PopulationEstimate,AverageHouseValue,IncomePerHousehold,MedianAge,DeliveryTotal,NumberofBusinesses,NumberofEmployees,ZipPopulation
BidFee,1.0,0.0058833818514475575,0.007725111804282155,0.007725111804282186,-0.0004490763588500952,0.011457417785303093,0.006108334258266581,0.0036146750483931284,0.00015482877217982307,-0.001884380456882721,-0.0025183577001314534,-0.000656258882974917
TargetTime,0.0058833818514475575,1.0,0.04300346883488007,0.0430034688348799,-0.02581990059603922,-0.008102414400765779,-0.012904796578198229,-0.007642632597545003,-0.02278539096870868,-0.009043044115820202,8.445385917881669e-05,-0.02416135520921445
DistanceInKM,0.007725111804282155,0.04300346883488007,1.0,1.0000000000000093,-0.044001590440619257,0.03006776581505278,-0.0157906524803089,-0.0031440418579394063,-0.04281196746201577,-0.023398615049793358,-0.01177679645059856,-0.048109823665692594
DistanceInMiles,0.007725111804282186,0.0430034688348799,1.0000000000000093,1.0,-0.04400159044061907,0.03006776581505297,-0.01579065248030865,-0.0031440418579393842,-0.042811967462015564,-0.02339861504979445,-0.011776796450598368,-0.04810982366569263
PopulationEstimate,-0.0004490763588500952,-0.02581990059603922,-0.044001590440619257,-0.04400159044061907,1.0,0.13958346308047156,0.08191738253590174,-0.20767113756956085,0.9159295882433987,0.47015271391833197,0.16360953762283828,0.9661161463066446
AverageHouseValue,0.011457417785303093,-0.008102414400765779,0.03006776581505278,0.03006776581505297,0.13958346308047156,1.0,0.6500456951287299,0.08642357962558243,0.23225131490265483,0.48136129156015905,0.30181850025313295,0.11767893284773902
IncomePerHousehold,0.006108334258266581,-0.012904796578198229,-0.0157906524803089,-0.01579065248030865,0.08191738253590174,0.6500456951287299,1.0,0.15884104064149437,0.1274889155953829,0.342431982271892,0.2633958537663476,0.024937504346195506
MedianAge,0.0036146750483931284,-0.007642632597545003,-0.0031440418579394063,-0.0031440418579393842,-0.20767113756956085,0.08642357962558243,0.15884104064149437,1.0,-0.21275096792388,-0.09686007240364294,-0.18965778948422074,-0.25157113291283434
DeliveryTotal,0.00015482877217982307,-0.02278539096870868,-0.04281196746201577,-0.042811967462015564,0.9159295882433987,0.23225131490265483,0.1274889155953829,-0.21275096792388,1.0,0.5673068960174861,0.27907553487125986,0.868086056571309
NumberofBusinesses,-0.001884380456882721,-0.009043044115820202,-0.023398615049793358,-0.02339861504979445,0.47015271391833197,0.48136129156015905,0.342431982271892,-0.09686007240364294,0.5673068960174861,1.0,0.7645244551944416,0.4379680869344525
NumberofEmployees,-0.0025183577001314534,8.445385917881669e-05,-0.01177679645059856,-0.011776796450598368,0.16360953762283828,0.30181850025313295,0.2633958537663476,-0.18965778948422074,0.27907553487125986,0.7645244551944416,1.0,0.1388109886930169
ZipPopulation,-0.000656258882974917,-0.02416135520921445,-0.048109823665692594,-0.04810982366569263,0.9661161463066446,0.11767893284773902,0.024937504346195506,-0.25157113291283434,0.868086056571309,0.4379680869344525,0.1388109886930169,1.0
