OfficeCode,FixedEffect
"206 - St. Louis, MO",4725.877727102368
"118 - INDIANAPOLIS, IN",4372.248203797703
"159 - Syracuse, NY",3082.299106025075
"144 - NASHVILLE, TN",2077.6469990809132
"214 - Oklahoma City, OK",1606.0516685801297
"142 - DETROIT, MI",1238.9002935520405
"111 - COLUMBUS, OH",861.3619583170223
"122 - LOUISVILLE, KY",730.1343204200799
191 - DFW,537.6708511428972
205 - Tellatin Senior Housing,401.300923223404
"130 - ORLANDO, FL",366.55490174821983
"179 - SAN ANTONIO, TX",366.40549500553317
900 - Integra AIM CORE,308.95321783380535
"123 - MIAMI, FL",72.56698390792647
194 - Chicago,21.58203419513043
"108 - CINCINNATI, OH",0.0
203 - Philadelphia,-65.40239481743967
"173 - Birmingham, AL",-237.27899841547227
"152 - NAPLES, FL",-831.2024327655018
218 - Kansas City,-1032.5523524181822
"195 - Fort Worth, TX",-1133.2409503363106
"154 - SEATTLE, WA",-1326.0935210475152
166 - CLEVELAND,-1343.658308919161
"209 - Denver, CO",-1970.254449137442
"162 - SAN DIEGO, CA",-2025.7138118322237
"215 - Lubbock, TX",-2473.9157250230173
181 - Puerto Rico,-2903.7029732209853
"148 - TAMPA, FL",-3669.7387001800657
950 - Washington Baltimore Metro,-3712.9828432019735
"160 - SALT LAKE CITY, UT",-3899.0480077358425
"150 - PROVIDENCE, RI",-4163.422801020391
185 - Austin,-5139.230694500836
